Version, Version Name, Name, Age, Revisions, Bugfix, LOCs, LOCs Touched, LOCs Added, Churn, Avg. Churn, Authors Number, Average Change Set, Buggy
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/api/Publisher.java,0,2,1,58,71,67,58,29.0,2,227.0,false
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/api/Subscriber.java,0,2,1,222,277,257,222,111.0,2,227.0,false
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkPublisher.java,0,3,2,113,145,139,113,37.666666666666664,2,161.66666666666666,true
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkSubscriber.java,0,4,3,115,163,150,115,28.75,2,145.75,true
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkUtils.java,0,3,2,153,185,181,153,51.0,2,184.0,true
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkWorker.java,0,2,1,41,48,47,41,20.5,2,227.0,false
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/HedwigBenchmark.java,0,5,4,101,146,137,101,20.2,3,117.0,false
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/conf/ClientConfiguration.java,0,3,2,129,155,152,129,43.0,2,184.0,false
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/data/MessageConsumeData.java,0,2,1,53,60,59,53,26.5,2,227.0,false
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/data/PubSubData.java,0,2,1,140,155,152,140,70.0,2,227.0,false
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/data/TopicSubscriber.java,0,2,1,64,82,78,64,32.0,2,227.0,false
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/InvalidSubscriberIdException.java,0,1,0,32,37,37,32,32.0,1,282.0,false
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/ServerRedirectLoopException.java,0,2,1,33,42,40,33,16.5,2,227.0,false
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/TooManyServerRedirectsException.java,0,2,1,34,41,40,34,17.0,2,227.0,false
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/MessageConsumeCallback.java,0,4,3,82,118,107,82,20.5,2,145.75,false
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/PubSubCallback.java,0,3,2,77,94,91,77,25.666666666666668,2,184.0,false
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/PublishResponseHandler.java,0,4,3,64,85,78,64,16.0,2,145.75,false
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/SubscribeReconnectCallback.java,0,4,3,102,132,123,102,25.5,2,145.75,false
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/SubscribeResponseHandler.java,0,6,5,315,492,414,315,52.5,3,97.83333333333333,false
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/UnsubscribeResponseHandler.java,0,4,3,76,102,93,76,19.0,2,145.75,false
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/netty/ClientChannelPipelineFactory.java,0,3,2,49,68,63,49,16.333333333333332,2,161.66666666666666,false
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/netty/ConnectCallback.java,0,4,3,112,137,130,112,28.0,2,145.75,false
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigClientImpl.java,0,1,1,332,369,369,332,332.0,2,31.0,true
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigPublisher.java,0,5,4,211,255,243,211,42.2,2,117.0,true
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigSubscriber.java,0,4,3,541,704,645,541,135.25,2,145.75,true
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/netty/ResponseHandler.java,0,5,4,333,414,390,333,66.6,2,119.8,false
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/netty/WriteCallback.java,0,4,3,88,117,108,88,22.0,2,145.75,false
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/ssl/SslClientContextFactory.java,0,1,0,35,41,41,35,35.0,1,282.0,false
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/ssl/SslContextFactory.java,0,2,1,54,92,79,54,27.0,2,227.0,false
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/conf/AbstractConfiguration.java,0,3,1,47,56,55,47,15.666666666666666,3,166.0,false
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/util/Callback.java,0,2,1,42,55,51,42,21.0,2,227.0,false
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/util/CallbackUtils.java,0,4,2,156,223,203,160,40.0,3,141.0,false
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/util/ConcurrencyUtils.java,0,1,0,43,49,49,43,43.0,1,282.0,false
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/util/Either.java,0,1,0,41,50,50,41,41.0,1,282.0,false
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/util/FileUtils.java,0,2,1,78,102,100,78,39.0,2,190.0,false
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/util/HedwigSocketAddress.java,0,1,0,120,138,138,120,120.0,1,282.0,false
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/util/Option.java,0,1,0,35,43,43,35,35.0,1,282.0,false
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/util/Pair.java,0,1,0,35,42,42,35,35.0,1,282.0,false
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/util/PathUtils.java,0,1,0,50,56,56,50,50.0,1,282.0,false
1,refs/tags/release-4.0.0,hedwig-protocol/src/main/java/org/apache/hedwig/exceptions/PubSubException.java,0,2,1,141,164,163,141,70.5,2,227.0,false
1,refs/tags/release-4.0.0,hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java,0,2,2,5842,18077,12222,5842,2921.0,2,89.0,false
1,refs/tags/release-4.0.0,hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/MessageIdUtils.java,0,2,1,123,157,155,123,61.5,2,227.0,false
1,refs/tags/release-4.0.0,hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/PubSubResponseUtils.java,0,1,0,37,43,43,37,37.0,1,282.0,false
1,refs/tags/release-4.0.0,hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/SubscriptionStateUtils.java,0,2,1,35,43,42,35,17.5,2,227.0,false
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/AbstractBenchmark.java,0,3,2,79,205,155,79,26.333333333333332,2,184.0,true
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/BookieBenchmark.java,0,5,2,84,191,148,84,16.8,3,124.8,true
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/BookkeeperBenchmark.java,0,4,3,70,160,126,70,17.5,3,143.0,true
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/FakeBookie.java,0,3,2,87,201,151,87,29.0,2,184.0,false
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/common/ByteStringInterner.java,0,1,0,37,45,45,37,37.0,1,282.0,false
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/common/ServerConfiguration.java,0,2,1,246,291,290,246,123.0,2,227.0,true
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/common/TerminateJVMExceptionHandler.java,0,2,1,28,38,35,28,14.0,2,190.0,false
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/common/TopicOpQueuer.java,0,1,0,94,111,111,94,94.0,1,282.0,false
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/common/UnexpectedError.java,0,2,1,30,37,36,30,15.0,2,227.0,false
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/ChannelEndPoint.java,0,1,0,65,81,81,65,65.0,1,282.0,false
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryCallback.java,0,1,0,23,27,27,23,23.0,1,282.0,false
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryEndPoint.java,0,1,0,23,28,28,23,23.0,1,282.0,false
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryManager.java,0,2,1,26,31,30,26,13.0,2,227.0,true
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/FIFODeliveryManager.java,0,4,3,459,634,600,459,114.75,3,138.5,true
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/BaseHandler.java,0,2,1,54,96,80,54,27.0,2,227.0,false
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/ChannelDisconnectListener.java,0,2,1,26,31,30,26,13.0,2,227.0,false
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/ConsumeHandler.java,0,2,1,53,66,65,53,26.5,2,227.0,false
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/Handler.java,0,2,1,33,43,40,33,16.5,2,227.0,false
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/PublishHandler.java,0,2,1,58,90,79,58,29.0,2,227.0,true
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/SubscribeHandler.java,0,3,2,132,176,165,132,44.0,2,184.0,true
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/UnsubscribeHandler.java,0,2,1,62,74,73,62,31.0,2,227.0,true
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/netty/PubSubServer.java,0,6,4,335,415,400,335,55.833333333333336,3,103.16666666666667,true
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/netty/PubSubServerPipelineFactory.java,0,2,1,67,80,78,67,33.5,2,227.0,false
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/netty/UmbrellaHandler.java,0,3,2,139,167,163,139,46.333333333333336,2,184.0,false
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/BookkeeperPersistenceManager.java,0,3,2,619,1035,886,619,206.33333333333334,2,184.0,false
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/CacheKey.java,0,2,1,64,78,76,64,32.0,2,227.0,false
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/CacheValue.java,0,3,2,78,100,97,78,26.0,2,184.0,false
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/Factory.java,0,1,0,21,22,22,21,21.0,1,282.0,false
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/LocalDBPersistenceManager.java,0,3,2,357,451,439,357,119.0,2,184.0,false
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/MapMethods.java,0,1,0,49,62,62,49,49.0,1,282.0,false
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistRequest.java,0,2,1,50,60,59,50,25.0,2,227.0,false
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistenceManager.java,0,2,1,82,101,96,82,41.0,2,227.0,false
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistenceManagerWithRangeScan.java,0,2,1,26,29,28,26,13.0,2,227.0,false
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/RangeScanRequest.java,0,2,1,67,81,79,67,33.5,2,227.0,false
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ReadAheadCache.java,0,3,2,583,780,742,583,194.33333333333334,2,184.0,true
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanCallback.java,0,2,1,55,71,67,55,27.5,2,227.0,false
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanCallbackWithContext.java,0,1,0,32,37,37,32,32.0,1,282.0,false
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanRequest.java,0,2,1,56,66,65,56,28.0,2,227.0,false
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ChannelTracker.java,0,2,1,98,130,127,98,49.0,2,227.0,false
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/HedwigProxy.java,0,4,3,137,174,167,137,34.25,2,145.75,false
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyConfiguration.java,0,2,1,30,46,41,30,15.0,2,227.0,false
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyConsumeHandler.java,0,2,1,49,62,60,49,24.5,2,190.0,false
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyPublishHander.java,0,1,0,52,62,62,52,52.0,1,282.0,false
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyStartDeliveryHandler.java,0,4,3,106,154,142,106,26.5,2,145.75,false
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyStopDeliveryHandler.java,0,2,1,63,78,76,63,31.5,2,190.0,false
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxySubscribeHandler.java,0,3,2,72,89,86,72,24.0,2,184.0,false
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyUnsubscribeHandler.java,0,1,0,61,74,74,61,61.0,1,282.0,false
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubClient.java,0,2,1,42,52,50,42,21.0,2,156.5,false
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubClientFactory.java,0,2,1,52,62,61,52,26.0,2,227.0,false
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubSubscriber.java,0,3,2,62,82,76,62,20.666666666666668,2,161.66666666666666,false
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/regions/RegionManager.java,0,4,3,166,221,202,166,41.5,2,145.75,true
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/ssl/SslServerContextFactory.java,0,1,0,44,53,53,44,44.0,1,282.0,false
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/AbstractSubscriptionManager.java,0,4,3,386,492,472,386,96.5,2,138.5,true
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/AllToAllTopologyFilter.java,0,1,0,33,39,39,33,33.0,1,282.0,false
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/InMemorySubscriptionManager.java,0,2,1,66,86,82,66,33.0,2,227.0,false
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/InMemorySubscriptionState.java,0,2,1,54,66,65,54,27.0,2,227.0,true
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/MessageFilter.java,0,2,1,28,33,32,28,14.0,2,227.0,false
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/SubscriptionEventListener.java,0,2,1,52,65,61,52,26.0,2,227.0,false
