Version, Version Name, Path, LOCs, LOCs Touched, Churn, Age, Number of Revisions, Authors Number, Bugfix
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/util/Pair.java,35,35,35,1,1,1,0
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/util/PathUtils.java,50,50,50,1,1,1,0
1,refs/tags/release-4.0.0,hedwig-protocol/src/main/java/org/apache/hedwig/exceptions/PubSubException.java,141,423,141,1,2,2,0
1,refs/tags/release-4.0.0,hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/MessageIdUtils.java,123,369,123,1,2,2,0
1,refs/tags/release-4.0.0,hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/PubSubResponseUtils.java,37,37,37,1,1,1,0
1,refs/tags/release-4.0.0,hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/SubscriptionStateUtils.java,35,105,35,1,2,2,0
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/AbstractBenchmark.java,79,235,79,1,3,2,0
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/BookieBenchmark.java,84,250,84,1,5,3,0
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/BookkeeperBenchmark.java,70,208,70,1,4,3,0
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/FakeBookie.java,87,259,87,1,3,2,0
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/common/ByteStringInterner.java,37,37,37,1,1,1,0
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/common/ServerConfiguration.java,246,738,246,1,2,2,0
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/common/TerminateJVMExceptionHandler.java,28,82,28,1,2,2,0
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/common/TopicOpQueuer.java,94,94,94,1,1,1,0
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/common/UnexpectedError.java,30,90,30,1,2,2,0
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/ChannelEndPoint.java,65,65,65,1,1,1,0
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryCallback.java,23,23,23,1,1,1,0
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryEndPoint.java,23,23,23,1,1,1,0
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryManager.java,26,78,26,1,2,2,0
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/FIFODeliveryManager.java,459,1375,459,1,4,3,0
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/BaseHandler.java,54,162,54,1,2,2,0
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/ChannelDisconnectListener.java,26,78,26,1,2,2,0
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/ConsumeHandler.java,53,159,53,1,2,2,0
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/Handler.java,33,99,33,1,2,2,0
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/PublishHandler.java,58,174,58,1,2,2,0
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/SubscribeHandler.java,132,394,132,1,3,2,0
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/UnsubscribeHandler.java,62,186,62,1,2,2,0
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/netty/PubSubServer.java,335,999,335,1,6,3,0
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/netty/PubSubServerPipelineFactory.java,67,201,67,1,2,2,0
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/netty/UmbrellaHandler.java,139,415,139,1,3,2,0
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/BookkeeperPersistenceManager.java,619,1855,619,1,3,2,0
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/CacheKey.java,64,192,64,1,2,2,0
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/CacheValue.java,78,232,78,1,3,2,0
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/Factory.java,21,21,21,1,1,1,0
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/LocalDBPersistenceManager.java,357,1069,357,1,3,2,0
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/MapMethods.java,49,49,49,1,1,1,0
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistRequest.java,50,150,50,1,2,2,0
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistenceManager.java,82,246,82,1,2,2,0
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistenceManagerWithRangeScan.java,26,78,26,1,2,2,0
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/RangeScanRequest.java,67,201,67,1,2,2,0
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ReadAheadCache.java,583,1747,583,1,3,2,0
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanCallback.java,55,165,55,1,2,2,0
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanCallbackWithContext.java,32,32,32,1,1,1,0
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanRequest.java,56,168,56,1,2,2,0
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ChannelTracker.java,98,294,98,1,2,2,0
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/HedwigProxy.java,137,411,137,1,4,2,0
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyConfiguration.java,30,90,30,1,2,2,0
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyConsumeHandler.java,49,145,49,1,2,2,0
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyPublishHander.java,52,52,52,1,1,1,0
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyStartDeliveryHandler.java,106,318,106,1,4,2,0
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyStopDeliveryHandler.java,63,187,63,1,2,2,0
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxySubscribeHandler.java,72,214,72,1,3,2,0
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyUnsubscribeHandler.java,61,61,61,1,1,1,0
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubClient.java,42,126,42,1,2,2,0
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubClientFactory.java,52,156,52,1,2,2,0
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubSubscriber.java,62,186,62,1,3,2,0
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/regions/RegionManager.java,166,498,166,1,4,2,0
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/ssl/SslServerContextFactory.java,44,44,44,1,1,1,0
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/AbstractSubscriptionManager.java,386,1156,386,1,4,2,0
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/AllToAllTopologyFilter.java,33,33,33,1,1,1,0
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/InMemorySubscriptionManager.java,66,198,66,1,2,2,0
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/InMemorySubscriptionState.java,54,162,54,1,2,2,0
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/MessageFilter.java,28,84,28,1,2,2,0
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/SubscriptionEventListener.java,52,156,52,1,2,2,0
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/SubscriptionManager.java,96,288,96,1,2,2,0
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/TrueFilter.java,28,28,28,1,1,1,0
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/ZkSubscriptionManager.java,195,583,195,1,3,2,0
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/topics/AbstractTopicManager.java,167,485,167,1,4,3,0
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/topics/TopicManager.java,69,207,69,1,2,2,0
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/topics/TopicOwnershipChangeListener.java,24,24,24,1,1,1,0
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/topics/TrivialOwnAllTopicManager.java,44,132,44,1,2,2,0
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/topics/ZkTopicManager.java,374,1120,374,1,3,2,0
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/zookeeper/SafeAsynBKCallback.java,79,237,79,1,2,2,0
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/zookeeper/SafeAsyncCallback.java,30,30,30,1,1,1,0
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/zookeeper/SafeAsyncZKCallback.java,84,252,84,1,2,2,0
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/zookeeper/ZkUtils.java,66,196,66,1,3,2,0
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,942,2780,942,1,14,3,0
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java,78,214,78,1,3,3,0
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java,170,498,170,1,4,2,0
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java,441,1399,527,1,9,3,0
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java,185,553,185,1,5,3,0
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java,515,1549,519,1,7,3,0
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java,130,390,130,1,5,3,0
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java,152,446,152,1,3,3,0
